Author;Site;Product;Order.Specie;n.e;mean.e;sd.e;n.c;mean.c;sd.c
Rumschlag et al. 2020-25;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;38,8;20,66325241;4;79,1;37,86590375
Rumschlag et al. 2020-26;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;11,7;3,065941943;4;39,8;10,51348341
Rumschlag et al. 2020-27;Pennsylvania Furlance, EEUU;Herbicide;Anomopoda;4;21;22,93294573;4;27,15;51,23342008
Rumschlag et al. 2020-28;Pennsylvania Furlance, EEUU;Herbicide;Cladocera;4;59,8;42,51086136;4;398,45;319,3090196
Rumschlag et al. 2020-29;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;32,1;39,70440782;4;39;19,00596398
Rumschlag et al. 2020-30;Pennsylvania Furlance, EEUU;Herbicide;Copepoda;4;18,1;5,531425374;4;47,8;25,9327335
Rumschlag et al. 2020-31;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,5;0,525991128;4;79,1;37,86590375
Rumschlag et al. 2020-32;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
Rumschlag et al. 2020-33;Pennsylvania Furlance, EEUU;Insecticide;Anomopoda;4;0,1;0,115470054;4;27,15;51,23342008
Rumschlag et al. 2020-34;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0,3;0,37859389;4;398,45;319,3090196
Rumschlag et al. 2020-35;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;155,6;45,24569961;4;39;19,00596398
Rumschlag et al. 2020-36;Pennsylvania Furlance, EEUU;Insecticide;Copepoda;4;30,9;16,60722734;4;47,8;25,9327335
Rumschlag et al. 2020-37;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;1,1;1,723368794;4;79,1;37,86590375
Rumschlag et al. 2020-38;Pennsylvania Furlance, EEUU;Insecticide;Cladocera;4;0;0;4;39,8;10,51348341
